unnamed_0,deal_num,deal_type,deal_struct,deal_fin,deal_pay_method,deal_pay_method_val_usd,deal_status,rumour_d,announced_d,expected_comp_d,assumed_comp_d,completed_d,postponed_d,withdrawn_d,last_deal_status_d,last_deal_val_up_d,last_deal_status_up_d,last_pct_stake_up_d,last_acq_tar_ven_up_d,last_advisor_up_d,last_comment_up_d,last_up,rumour_d_yr,announced_d_yr,expected_comp_d_yr,assumed_comp_d_yr,completed_d_yr,postponed_d_yr,withdrawn_d_yr,last_deal_status_d_yr,last_deal_val_up_d_yr,last_deal_status_up_d_yr,last_pct_stake_up_d_yr,last_acq_tar_ven_up_d_yr,last_advisor_up_d_yr,last_comment_up_d_yr,last_up_yr
,,,,,Liabilities,12700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,1601225506.0,Acquisition 100%,Recommended bid,Capital increase - vendor placing,Shares,n.a.,Completed,40745.0,40745.0,,,41001.0,,,41001.0,40745.0,41001.0,40745.0,40745.0,40806.0,41123.0,41123.0,2011.0,2011.0,,,2012.0,,,2012.0,2011.0,2012.0,2011.0,2011.0,2011.0,2012.0,2012.0
,,,Patent sale,,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,521358.0,Acquisition 99.97%,,,Cash,25155494.1257775,Completed,39148.0,39282.0,,,39287.0,,,39287.0,42319.0,,39288.0,,42319.0,39420.0,42319.0,2007.0,2007.0,,,2007.0,,,2007.0,2015.0,,2007.0,,2015.0,2007.0,2015.0
,,,,,Liabilities,3870076.01935038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,1909647786.0,Acquisition 100%,Unsolicited bid,Capital increase - vendor placing,Cash,n.a.,Withdrawn,43039.0,,,,,,43067.0,43067.0,,,,,43067.0,43067.0,43067.0,2017.0,,,,,,2017.0,2017.0,,,,,2017.0,2017.0,2017.0
,,,Public takeover,,Shares,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover - Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,631239.0,Acquisition increased from 24.85% to 77%,,New bank facilities,Cash,28300000,Completed,39545.0,40182.0,,,40416.0,,,40416.0,40416.0,40416.0,40311.0,,40794.0,40416.0,40794.0,2008.0,2010.0,,,2010.0,,,2010.0,2010.0,2010.0,2010.0,,2011.0,2010.0,2011.0
48.0,71195.0,Acquisition 100%,Public takeover,Capital increase - vendor placing,Shares,27407276.5972638,Completed,36251.0,36251.0,,,36633.0,,,36633.0,39948.0,,39948.0,,,41177.0,41177.0,1999.0,1999.0,,,2000.0,,,2000.0,2009.0,,2009.0,,,2012.0,2012.0
49.0,1941096149.0,Acquisition 100%,Patent sale,,,n.a.,Rumour - Expired,43268.0,,,,,,,43268.0,,,,,,,,2018.0,,,,,,,2018.0,,,,,,,
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,59173.0,Acquisition 100%,,Capital increase - vendor placing,Shares,n.a.,Completed,36514.0,36514.0,,,36619.0,,,36619.0,39931.0,,39931.0,,,39931.0,39931.0,1999.0,1999.0,,,2000.0,,,2000.0,2009.0,,2009.0,,,2009.0,2009.0
,,,,,Liabilities,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,300755.0,Acquisition 100% -  Bid 1 - withdrawn,Public takeover - Withdrawn,Capital increase - vendor placing,Shares,15240000,Withdrawn,38328.0,38337.0,,,,,38672.0,38672.0,38341.0,38674.0,,,38383.0,38674.0,38674.0,2004.0,2004.0,,,,,2005.0,2005.0,2004.0,2005.0,,,2005.0,2005.0,2005.0
,,,Public takeover,,Cash,10160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
